Time (min),Irradiance (W/m^2)
1130.952,121.3945
1131.944,119.2488
1132.937,117.1805
1133.929,115.3846
1134.921,112.5431
1135.913,109.7135
1136.905,109.5316
1137.897,108.3217
1138.889,105.8531
1139.881,103.6834
1140.873,102.5064
1141.865,99.91142
1142.857,97.44659
1143.849,97.3966
1144.841,95.25791
1145.833,93.21925
1146.825,91.87949
1147.817,90.97663
1148.810,88.94038
1149.802,86.75118
1150.794,84.82986
1151.786,83.45451
1152.778,82.94215
1153.770,82.25256
1154.762,81.17197
1155.754,79.85672
1156.746,77.41662
1157.738,72.84816
1158.730,68.61172
1159.722,67.21015
1160.714,65.39688
1161.706,65.55256
1162.698,62.46578
1163.690,62.46924
1164.683,61.00325
1165.675,58.30473
1166.667,61.03496
1167.659,60.7268
1168.651,57.17232
1169.643,37.59624
1170.635,48.67109
1171.627,52.79428
1172.619,50.54153
1173.611,50.0655
1174.603,49.6605
1175.595,44.67907
1177.579,36.92512
1178.571,39.25689
1179.563,33.62636
1180.556,39.02691
1181.548,36.8189
1182.540,35.03142
1183.532,33.22234
1184.524,31.05887
1185.516,29.24027
1186.508,27.40123
1187.500,25.37433
1188.492,24.57576
1189.484,18.08824
1190.476,9.991746
1191.468,14.15707
1192.460,16.52157
1193.452,12.42839
1194.444,6.146349
1195.437,1.227421
1196.429,0
1197.421,0
1198.413,0
1199.405,0
1200.397,0
1201.389,0
1202.381,0
1203.373,0
1204.365,0
1205.357,0
1206.349,0
1207.341,0
1208.333,0
1209.325,0
1210.317,0
1211.310,0
1212.302,0
1213.294,0
1214.286,0
1215.278,0
1216.270,0
1217.262,0
1218.254,0
1219.246,0
1220.238,0
1221.230,0
1222.222,0
1223.214,0
1224.206,0
1225.198,0
1226.190,0
1227.183,0
